"","Block","Base_File","Repeated","Insert","Degredation","Image"
"51",1,"065a.jpg",1,NA,75,"065a.jpg"
"52",1,"067b.jpg",1,NA,50,"067b.jpg"
"53",1,"068a.jpg",1,NA,50,"068a.jpg"
"54",1,"069a.jpg",1,NA,50,"069a.jpg"
"55",1,"070a.jpg",1,NA,0,"070a.jpg"
"56",1,"071a.jpg",1,NA,50,"071a.jpg"
"57",1,"072b.jpg",1,NA,0,"072b.jpg"
"58",1,"074b.jpg",1,NA,0,"074b.jpg"
"59",1,"075b.jpg",1,NA,75,"075b.jpg"
"60",1,"076a.jpg",1,NA,25,"076a.jpg"
"61",1,"077b.jpg",1,NA,25,"077b.jpg"
"62",1,"078a.jpg",1,NA,25,"078a.jpg"
"63",1,"079a.jpg",1,NA,0,"079a.jpg"
"64",1,"080b.jpg",1,NA,25,"080b.jpg"
"65",1,"081a.jpg",1,NA,0,"081a.jpg"
"66",1,"082a.jpg",1,NA,25,"082a.jpg"
"67",1,"083a.jpg",1,NA,25,"083a.jpg"
"68",1,"085a.jpg",1,NA,50,"085a.jpg"
"69",1,"086a.jpg",1,NA,0,"086a.jpg"
"70",1,"087a.jpg",1,NA,75,"087a.jpg"
"71",1,"088a.jpg",1,NA,50,"088a.jpg"
"72",1,"090a.jpg",1,NA,50,"090a.jpg"
"73",1,"091b.jpg",1,NA,75,"091b.jpg"
"74",1,"092a.jpg",1,NA,0,"092a.jpg"
"75",1,"093a.jpg",1,NA,25,"093a.jpg"
"76",1,"094a.jpg",1,NA,50,"094a.jpg"
"77",1,"096a.jpg",1,NA,0,"096a.jpg"
"78",1,"097a.jpg",1,NA,25,"097a.jpg"
"79",1,"099b.jpg",1,NA,75,"099b.jpg"
"80",1,"100a.jpg",1,NA,0,"100a.jpg"
"81",1,"001a.jpg",0,3,0,"001a.jpg"
"82",1,"003b.jpg",0,1,0,"003b.jpg"
"83",1,"004a.jpg",0,4,0,"004a.jpg"
"84",1,"006a.jpg",0,3,0,"006a.jpg"
"85",1,"010b.jpg",0,4,0,"010b.jpg"
"86",1,"015a.jpg",0,2,0,"015a.jpg"
"87",1,"022b.jpg",0,3,0,"022b.jpg"
"88",1,"028a.jpg",0,1,0,"028a.jpg"
"89",1,"030b.jpg",0,4,0,"030b.jpg"
"90",1,"035b.jpg",0,3,0,"035b.jpg"
"91",1,"051a.jpg",0,4,0,"051a.jpg"
"92",1,"058a.jpg",0,4,0,"058a.jpg"
"93",1,"060b.jpg",0,2,0,"060b.jpg"
"94",1,"061a.jpg",0,2,0,"061a.jpg"
"95",1,"066a.jpg",0,1,0,"066a.jpg"
"96",1,"073a.jpg",0,1,0,"073a.jpg"
"97",1,"084a.jpg",0,3,0,"084a.jpg"
"98",1,"089b.jpg",0,2,0,"089b.jpg"
"99",1,"095b.jpg",0,2,0,"095b.jpg"
"100",1,"098a.jpg",0,1,0,"098a.jpg"
"101",2,"002b.jpg",1,NA,75,"002b_75_1.png"
"102",2,"005b.jpg",1,NA,75,"005b_75_1.png"
"103",2,"007b.jpg",1,NA,75,"007b_75_1.png"
"104",2,"008b.jpg",1,NA,50,"008b_50_1.png"
"105",2,"009a.jpg",1,NA,25,"009a_25_1.png"
"106",2,"011a.jpg",1,NA,25,"011a_25_1.png"
"107",2,"012b.jpg",1,NA,25,"012b_25_1.png"
"108",2,"013b.jpg",1,NA,25,"013b_25_1.png"
"109",2,"014b.jpg",1,NA,50,"014b_50_1.png"
"110",2,"016a.jpg",1,NA,50,"016a_50_1.png"
"111",2,"017a.jpg",1,NA,75,"017a_75_1.png"
"112",2,"018a.jpg",1,NA,50,"018a_50_1.png"
"113",2,"019b.jpg",1,NA,0,"019b.jpg"
"114",2,"020b.jpg",1,NA,0,"020b.jpg"
"115",2,"021a.jpg",1,NA,0,"021a.jpg"
"116",2,"023b.jpg",1,NA,25,"023b_25_1.png"
"117",2,"024a.jpg",1,NA,25,"024a_25_1.png"
"118",2,"025a.jpg",1,NA,25,"025a_25_1.png"
"119",2,"026a.jpg",1,NA,0,"026a.jpg"
"120",2,"027b.jpg",1,NA,0,"027b.jpg"
"121",2,"029a.jpg",1,NA,75,"029a_75_1.png"
"122",2,"031a.jpg",1,NA,0,"031a.jpg"
"123",2,"032a.jpg",1,NA,75,"032a_75_1.png"
"124",2,"033b.jpg",1,NA,75,"033b_75_1.png"
"125",2,"034b.jpg",1,NA,50,"034b_50_1.png"
"126",2,"036b.jpg",1,NA,50,"036b_50_1.png"
"127",2,"037b.jpg",1,NA,50,"037b_50_1.png"
"128",2,"038b.jpg",1,NA,50,"038b_50_1.png"
"129",2,"039a.jpg",1,NA,50,"039a_50_1.png"
"130",2,"040a.jpg",1,NA,75,"040a_75_1.png"
"131",2,"041a.jpg",1,NA,75,"041a_75_1.png"
"132",2,"042b.jpg",1,NA,25,"042b_25_1.png"
"133",2,"043b.jpg",1,NA,75,"043b_75_1.png"
"134",2,"044a.jpg",1,NA,0,"044a.jpg"
"135",2,"045b.jpg",1,NA,75,"045b_75_1.png"
"136",2,"046b.jpg",1,NA,50,"046b_50_1.png"
"137",2,"047a.jpg",1,NA,75,"047a_75_1.png"
"138",2,"048b.jpg",1,NA,25,"048b_25_1.png"
"139",2,"049b.jpg",1,NA,25,"049b_25_1.png"
"140",2,"050b.jpg",1,NA,0,"050b.jpg"
"141",2,"052a.jpg",1,NA,75,"052a_75_1.png"
"142",2,"053b.jpg",1,NA,0,"053b.jpg"
"143",2,"054b.jpg",1,NA,50,"054b_50_1.png"
"144",2,"055b.jpg",1,NA,25,"055b_25_1.png"
"145",2,"056a.jpg",1,NA,25,"056a_25_1.png"
"146",2,"057b.jpg",1,NA,0,"057b.jpg"
"147",2,"059b.jpg",1,NA,75,"059b_75_1.png"
"148",2,"062a.jpg",1,NA,75,"062a_75_1.png"
"149",2,"063b.jpg",1,NA,50,"063b_50_1.png"
"150",2,"064b.jpg",1,NA,0,"064b.jpg"
